gen,evals,hypervol,dist_diag,time,firts_front,avg,std,min,max
0,250,2.515022989649125e+19,546.8974445794183,0.043003082275390625,17,[6841.5   6781.548 6671.064 6739.416 7097.12 ],[336.05005877 315.8892586  333.70043438 304.49313119 343.46285039],[5679. 5745. 5718. 5779. 5893.],[7547. 7533. 7565. 7555. 7901.]
1,250,2.515022989649125e+19,549.4241622540785,0.1790142059326172,26,[7047.2   6961.116 6858.752 6902.036 7280.28 ],[235.54216608 219.34784828 242.15757369 237.37747725 258.06283266],[6438. 6321. 6192. 5997. 6426.],[7688. 7538. 7565. 7555. 7901.]
2,250,2.515022989649125e+19,486.796204540663,0.185014009475708,12,[7151.728 7044.092 6975.884 6999.748 7387.116],[224.39420228 220.02495208 246.41676596 224.34476258 238.63613839],[6554. 6437. 6192. 5997. 6781.],[7896. 7574. 7788. 7559. 7923.]
3,250,2.515022989649125e+19,577.6777359729301,0.18401575088500977,13,[7235.008 7115.652 7058.596 7058.952 7442.896],[225.58402412 214.08148658 235.97216951 220.13339069 239.76250996],[6596. 6487. 6451. 6421. 6847.],[7896. 7716. 7788. 7559. 7948.]
4,250,2.515022989649125e+19,551.8722529184524,0.16154265403747559,21,[7304.5   7146.108 7127.792 7109.456 7512.064],[227.14542038 226.11885445 239.69817007 229.54128183 233.75603501],[6662. 6487. 6498. 6421. 6870.],[7896. 7716. 7788. 7790. 8035.]
5,250,2.515022989649125e+19,568.1933144044015,0.2090139389038086,35,[7354.828 7191.228 7190.852 7187.512 7560.532],[230.46392867 235.56351164 221.87664613 217.64933691 218.01451552],[6662. 6517. 6498. 6421. 7025.],[8065. 7716. 7788. 7790. 8040.]
6,250,2.515022989649125e+19,547.1742040973232,0.22068572044372559,63,[7448.392 7234.72  7267.412 7254.672 7610.408],[206.23884779 233.06562509 210.91608345 210.53473921 222.39617249],[6893. 6597. 6742. 6540. 7025.],[8065. 7826. 7788. 7790. 8234.]
7,250,2.515022989649125e+19,613.5703461125386,0.1929004192352295,37,[7528.512 7280.104 7319.012 7290.004 7639.856],[209.01121945 228.41128953 223.70974913 218.40572333 221.69790992],[6903. 6597. 6742. 6585. 7043.],[8065. 7826. 7826. 7827. 8290.]
8,250,2.515022989649125e+19,574.4969047883077,0.16901397705078125,37,[7580.416 7309.328 7378.956 7335.46  7688.42 ],[217.4104757  241.34475842 225.03473968 207.39089758 222.64738849],[6789. 6597. 6548. 6800. 7067.],[8157. 7826. 7826. 7827. 8290.]
9,250,2.515022989649125e+19,578.3555438799252,0.2339327335357666,51,[7640.8   7343.348 7427.816 7383.74  7731.032],[221.32188324 237.80602788 217.54427169 206.28702431 224.85655644],[7000. 6733. 6903. 6815. 7195.],[8193. 7936. 8086. 7889. 8290.]
10,250,3.3689359967508877e+19,576.136604892755,0.1680130958557129,67,[7702.368 7379.664 7461.344 7415.364 7768.944],[216.38946503 226.25884094 213.62135114 210.52279569 222.32674347],[7106. 6733. 6957. 6786. 7104.],[8193. 7936. 8086. 7889. 8290.]
11,250,3.3689359967508877e+19,570.4074270657162,0.17092514038085938,87,[7764.032 7419.292 7507.392 7428.496 7802.964],[206.46876513 228.56576895 213.71844641 223.8227736  222.02894114],[7106. 6733. 6957. 6786. 7104.],[8273. 7936. 8109. 8043. 8383.]
12,250,3.3689359967508877e+19,580.8709753069866,0.19001221656799316,63,[7811.712 7447.756 7541.02  7476.56  7853.888],[204.0885226  222.63417632 218.17410387 210.80883852 221.71883875],[7106. 6733. 6952. 6927. 7219.],[8361. 7936. 8109. 8159. 8456.]
13,250,3.3689359967508877e+19,589.5529277090026,0.1753406524658203,43,[7864.008 7473.04  7559.968 7505.78  7880.808],[201.83846991 223.04761465 212.05393412 215.41486393 231.17574945],[7210. 6733. 6952. 6987. 7142.],[8361. 7947. 8109. 8159. 8467.]
14,250,3.3689359967508877e+19,591.4234018215885,0.19301748275756836,55,[7897.988 7483.072 7579.984 7545.196 7917.944],[206.13693472 232.18873964 216.50102943 209.51478607 221.16029676],[7210. 6733. 6952. 7047. 7219.],[8361. 7996. 8192. 8159. 8467.]
15,250,3.3689359967508877e+19,574.3304884085449,0.1929459571838379,67,[7945.58  7510.772 7611.12  7571.98  7950.044],[203.38634074 222.43019583 225.7189261  208.53491698 218.40212926],[7210. 6733. 7060. 7047. 7219.],[8416. 8032. 8205. 8159. 8467.]
16,250,3.3689359967508877e+19,566.2701745979737,0.17301678657531738,75,[7960.484 7546.948 7657.356 7605.856 7964.072],[219.23835829 209.55814777 222.20586235 213.52600606 221.33081759],[7210. 6943. 7060. 7093. 7219.],[8433. 8032. 8205. 8159. 8467.]
17,250,3.3689359967508877e+19,545.8898807619416,0.17001080513000488,74,[7979.708 7577.36  7683.572 7648.296 7981.624],[217.43394109 206.31113979 224.30840558 200.42670577 219.29794031],[7392. 7005. 7095. 6975. 7367.],[8548. 8122. 8233. 8159. 8467.]
18,250,3.3689359967508877e+19,521.0968102374769,0.19631528854370117,96,[8005.768 7609.844 7702.472 7684.236 7991.176],[218.55518794 200.40248418 215.57185627 197.64781887 209.91114554],[7416. 7037. 7173. 7142. 7392.],[8548. 8122. 8233. 8159. 8467.]
19,250,3.3689359967508877e+19,560.6967576734702,0.18801426887512207,62,[8037.64  7632.02  7736.716 7708.292 8006.804],[221.90705802 198.03346081 228.89524972 214.8498423  220.85922572],[7416. 7037. 7123. 7142. 7392.],[8548. 8122. 8311. 8305. 8507.]
20,250,4.059536634515985e+19,531.8933820245902,0.15701031684875488,50,[8067.152 7632.804 7781.524 7739.692 8047.864],[219.61672271 208.13867873 223.84332338 220.55648967 215.1488357 ],[7400. 7037. 7173. 7142. 7448.],[8548. 8131. 8330. 8305. 8589.]
21,250,4.059536634515985e+19,562.1986632213793,0.17230987548828125,68,[8078.876 7640.676 7819.056 7748.368 8071.52 ],[229.74919505 212.00076185 227.72552967 223.12398476 212.66479163],[7400. 7037. 7219. 7181. 7448.],[8548. 8236. 8330. 8305. 8589.]
22,250,4.059536634515985e+19,560.3557411788589,0.16902637481689453,85,[8112.612 7670.096 7836.4   7767.712 8087.312],[225.36318567 194.25129802 217.81257999 215.45703297 205.54720785],[7400. 7164. 7252. 7181. 7450.],[8637. 8236. 8330. 8305. 8589.]
23,250,4.059536634515985e+19,567.0244010824401,0.1980137825012207,105,[8118.08  7676.052 7859.136 7785.576 8097.824],[232.48608044 206.01518705 227.31102372 222.42096175 201.19819339],[7330. 7164. 7252. 7181. 7521.],[8637. 8236. 8372. 8305. 8589.]
24,250,4.059536634515985e+19,558.8285399530455,0.19001412391662598,113,[8153.176 7687.48  7882.284 7798.788 8126.932],[218.53992089 199.70500645 227.35968716 214.70308581 204.25711096],[7330. 7164. 7303. 7181. 7521.],[8637. 8236. 8406. 8305. 8589.]
25,250,4.059536634515985e+19,583.9658769851288,0.18401288986206055,100,[8169.46  7698.896 7902.976 7811.636 8146.872],[211.33382219 203.42579282 223.46471628 216.91033978 203.4101463 ],[7330. 7164. 7312. 7191. 7625.],[8637. 8293. 8406. 8305. 8606.]
