gen,evals,hypervol,dist_diag,time,firts_front,avg,std,min,max
0,250,2.2033807281690284e+19,897.1128448832197,0.07700490951538086,23,[6030.704 6594.044 6754.196 7031.832 6525.248],[329.32474001 367.46167428 365.00513638 387.36567191 372.00292807],[4794. 5255. 5449. 5417. 5181.],[6729. 7467. 7504. 8007. 7415.]
1,250,2.2033807281690284e+19,910.1698932881563,0.23901867866516113,38,[6212.612 6806.596 6940.744 7258.424 6734.852],[202.52037294 223.46049491 235.13127921 229.63875157 242.2529878 ],[5600. 6227. 5949. 6653. 5959.],[6834. 7558. 7532. 8007. 7415.]
2,250,2.2033807281690284e+19,906.1643759255213,0.1940140724182129,31,[6297.244 6913.604 7034.74  7369.656 6831.032],[201.2948297  216.47039332 207.83732196 233.23756486 237.18556233],[5704. 6151. 6400. 6678. 6105.],[6834. 7558. 7535. 8236. 7633.]
3,250,2.2033807281690284e+19,893.1994368756434,0.22806620597839355,40,[6365.712 6977.116 7088.412 7442.46  6907.728],[196.56466889 223.38445457 207.01660382 231.24855978 235.38825378],[5761. 6339. 6400. 6769. 6238.],[6834. 7558. 7536. 8236. 7633.]
4,250,2.2033807281690284e+19,897.7862917843371,0.18701386451721191,50,[6401.128 7033.892 7139.716 7506.408 6974.1  ],[192.22923715 220.80413116 210.67004377 223.61977    243.77859217],[5816. 6381. 6400. 6769. 6260.],[6933. 7558. 7667. 8236. 7660.]
5,250,2.2033807281690284e+19,904.7818290290971,0.22703838348388672,63,[6465.984 7083.152 7187.936 7567.764 7051.112],[195.36058902 235.41787718 206.08337125 218.16468161 221.19960998],[5816. 6452. 6400. 6834. 6413.],[6991. 7558. 7667. 8236. 7660.]
6,250,2.2033807281690284e+19,901.5376240086078,0.16999387741088867,50,[6504.828 7131.172 7217.304 7608.96  7106.448],[207.07845474 247.90831857 216.2424648  226.4027173  224.29870997],[5891. 6430. 6400. 6834. 6483.],[7092. 7689. 7675. 8236. 7660.]
7,250,2.2033807281690284e+19,850.8484387193835,0.21901464462280273,54,[6557.184 7171.04  7271.332 7642.128 7154.62 ],[205.50485674 240.27590474 195.28393118 223.9130001  228.96681768],[5907. 6430. 6497. 6865. 6483.],[7092. 7689. 7675. 8236. 7809.]
8,250,2.2033807281690284e+19,851.8104821246827,0.17601370811462402,71,[6595.016 7218.108 7298.92  7666.068 7191.312],[199.33928801 248.58601798 196.43325991 227.92531973 232.42486669],[6044. 6430. 6497. 6865. 6517.],[7092. 7898. 7727. 8255. 7809.]
9,250,2.2033807281690284e+19,908.9809293295037,0.20601534843444824,54,[6645.1   7284.924 7324.14  7713.796 7254.568],[210.03405914 237.22072048 203.47674167 242.31753214 233.03024133],[6044. 6476. 6618. 7044. 6517.],[7184. 7898. 7737. 8282. 7809.]
10,250,2.845679762334662e+19,926.0282408030308,0.20101380348205566,46,[6702.064 7327.556 7371.216 7742.624 7298.892],[206.85870517 232.57805327 192.90267324 245.82901908 225.82905113],[6082. 6476. 6618. 7044. 6517.],[7184. 7898. 7901. 8282. 7809.]
